design,method,predicted_intervention,Chapter 1,Chapter 2,Chapter 3
Quasi-experimental,Fixed effects (incl. DiD),Government spending expansion,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of smart city pilots in selected Chinese cities,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Pilot Free Trade Zone (PFTZ) policy in selected Chinese prefecture-level cities starting in 2013,,,
Quasi-experimental,Fixed effects (incl. DiD),Centralization of national environmental quality monitoring policy via the ecological environmental monitoring power withdrawal (EEMPW) implemented by the Chinese State Council in 2015,,,
Quasi-experimental,Fixed effects (incl. DiD),"Corporate participation in carbon emission trading market (specifically, the carbon emission trading pilot policy in China)",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of Chinese carbon regulatory (low-carbon) policy,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of environmental tax policy on heavy-polluting manufacturing firms in China,,,
Quasi-experimental,Fixed effects (incl. DiD),Government funding/assistance to households,,,
Quasi-experimental,Fixed effects (incl. DiD),Mergers and acquisitions (M&A) activities among Chinese listed companies,,,
Quasi-experimental,Fixed effects (incl. DiD),"Implementation of the National Intellectual Property Demonstration City (NIPDC) policy, which strengthened intellectual property institution construction in selected Chinese cities.",,,
Quasi-experimental,Fixed effects (incl. DiD),Refund of consumption tax (cashback) to low-income citizens through the Devolve-ICMS Program,,,
Quasi-experimental,Fixed effects (incl. DiD),"Indonesia’s Village Fund Program (VFP), which transferred administrative and financial resources to rural villages to invest in infrastructure, human capital, and job creation programs.",,,
Quasi-experimental,Instrumental variable estimation,"Liberalization of air services (removal of restrictions on designation, flight frequency, and capacity) through the adoption of liberal bilateral air services agreements (BASAs) between Tanzania and other African countries",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's green power trading policy for renewable energy generation enterprises,,,
Quasi-experimental,Statistical matching,Minimum Support Price (MSP) policy for paddy/rice cultivation,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the National Innovative City Pilot Policy (NICPP) in selected Chinese cities,,,
Quasi-experimental,Synthetic control,Adoption of numerical fiscal (debt) rules by CFA zone countries,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of smart city policy (SCP) in Chinese cities,,,
Quasi-experimental,Fixed effects (incl. DiD),Expansion of higher education enrollment in China in 1999 (natural experiment increasing human capital availability),,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of smart city pilot programs in selected cities in China,,,
Experimental,Randomised controlled trial,Domestic Violence Intervention (DeVI) combining the WHO Problem Management Plus counseling program with a violence prevention component,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of innovative pilot city policies (IPCPs) aimed at reducing industrial SO2 emissions in selected Chinese cities,,,
Quasi-experimental,Statistical matching,"Provision of interest-free credit (IFC) to smallholder farmers to assess its impact on marketing decisions, producer prices, and technological adoption.",,,
Experimental,Randomised controlled trial,"A one-time, half-day environmental education classroom activity delivered to all fourth-grade students on the island of Maio, Cabo Verde",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the environmental tax reform in 2018 in China,,,
Quasi-experimental,Fixed effects (incl. DiD),"Implementation and measurement of agricultural environmental regulation projects (afforestation, water conservancy, environmental protection) as policy interventions to study their effect on agricultural green productivity growth.",,,
Quasi-experimental,Fixed effects (incl. DiD),Conditional cash transfer program (Progresa) providing cash to poor families conditional on investments in human capital,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Marine Ecological Compensation (MEC) policy in coastal areas of China,,,
Quasi-experimental,Fixed effects (incl. DiD),Government green investment (GGI) to promote carbon emissions reduction (CER) in prefecture-level cities,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of Low-carbon city pilot policy (LCCP policy) in selected Chinese prefecture-level cities,,,
Experimental,Randomised controlled trial,Monthly parent workshops focusing on parent-child reading and a book-lending library (Universidade do Bebê [UBB]),,,
Experimental,Randomised controlled trial,"A 12-month community-based salt reduction package targeting home cooks and family members, including supportive environment building for salt reduction, six educational sessions, and salt intake monitoring using a seven day weighed record of salt and salty condiments.",,,
Quasi-experimental,Statistical matching,"The Sloping Land Conversion Program (SLCP), a policy program aiming to convert sloping cropland to forest or grassland in rocky desertification areas of China.",,,
Quasi-experimental,Fixed effects (incl. DiD),Exposure to agricultural technology extension services and variation in social network characteristics among farmers to encourage adoption of conservation tillage technology.,,,
Quasi-experimental,Fixed effects (incl. DiD),"Implementation of the Fertilizer Distribution Directive 2020, involving private sector retailers in the distribution of subsidized fertilizer to farmers",,,
Quasi-experimental,Statistical matching,"Introduction of climate-smart agriculture technologies (microdosing of mineral fertilizer, seed priming, new cereal varieties, horticulture, poultry and goat production, assisted natural regeneration, and ridging) via farmer field schools.",,,
Experimental,Randomised controlled trial,Maternal nutrition education intervention,,,
Experimental,Randomised controlled trial,"Individualized breastfeeding counseling by nurses trained in breastfeeding counseling, compared to standard care",,,
Quasi-experimental,Statistical matching,School Breakfast Program (SBP) for children aged five to eleven,,,
Experimental,Randomised controlled trial,"Continuous breastfeeding education and support provided for 6 months via the WhatsApp messaging application, in addition to routine postpartum breastfeeding education",,,
Quasi-experimental,Statistical matching,Unconditional cash transfers (Benazir Income Support Programme),,,
Experimental,Randomised controlled trial,"Breastfeeding counselling and support for mothers, including counselling on early initiation of breastfeeding during third trimester, and support for exclusive breastfeeding during first 6 months via problem identification, frequent home visits, and assistance with expressing breastmilk.",,,
Experimental,Randomised controlled trial,Growth mindset psychological training in addition to technical-skills training for necessity entrepreneurs,,,
Quasi-experimental,Fixed effects (incl. DiD),Unconditional cash transfers provided by the Benazir Income Support Program (BISP) to ultra-poor households in Pakistan,,,
Quasi-experimental,Other,"Government agricultural expenditure as influenced by the CAADP policy (minimum 10% budget allocation to agriculture), with the impact evaluated on agricultural total factor productivity growth.",,,
Experimental,Randomised controlled trial,"Online educational training for mothers on otitis media prevention via WhatsApp, using the PRECEDE model, delivered in 4 sessions of 60 minutes each.",,,
Quasi-experimental,Statistical matching,Access to open water resources for tilapia fish farmers,,,
Experimental,Randomised controlled trial,"Enhancing Nutrition and Antenatal Infection Treatment (ENAT) intervention, which included improved antenatal care through point-of-care testing for maternal infections, strengthening infection prevention, and enhancing maternal nutrition within the ANC platform at public health facilities.",,,
Experimental,Randomised controlled trial,"Monthly home visits by community-based workers (CWs) aiming to improve early child development and growth, delivered via two models: integration into existing Lady Health Worker visits in Pakistan, and delivery by civil society NGO-trained workers in India.",,,
Quasi-experimental,Other,"Cox’s Interaction Model-based Nutrition Education Program applied to students for five weeks, consisting of interactive education and educational activities.",,,
Experimental,Randomised controlled trial,Integrated package of community-based nutrition-specific and nutrition-sensitive interventions,,,
Experimental,Randomised controlled trial,"Ajyal Salima school-based, multi-component nutritional intervention (including classroom activities, family program, and food service adaptation) targeting students aged 9–11 to improve dietary and physical activity habits.",,,
Experimental,Randomised controlled trial,Nutrition and health behavior change communication delivered by community-level actors to pregnant women,,,
Quasi-experimental,Fixed effects (incl. DiD),"Implementation of the River Chief System (RCS), which appoints officials as 'river chiefs' responsible for controlling industrial water pollution.",,,
Experimental,Randomised controlled trial,Provision and adoption of improved storage technology for farmers in India,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China’s environmental tax law on heavy-polluting enterprises,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Low-Carbon City Pilot (LCP) policy in selected Chinese cities,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Industrial Internet Pilot Demonstration Project among manufacturing enterprises,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of livestock environmental regulations (LERs) in China affecting listed livestock enterprises,,,
Quasi-experimental,Statistical matching,Farmer Field School of Integrated Crop Management (FFS-ICM) programme for maize farmers,,,
Quasi-experimental,Fixed effects (incl. DiD),Corporate income tax rate preferences for environmental protection firms,,,
Quasi-experimental,"Difference-in-differences (Fixed effects, incl. DiD)",Promulgation of China's New Environmental Protection Law,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China’s poverty alleviation policy in poverty-stricken counties on the Qinghai-Tibet Plateau,,,
Quasi-experimental,Fixed effects (incl. DiD),"Adoption and extension of family leave legislation (maternity, paternity, or parental leaves) in Latin American countries",,,
Quasi-experimental,Fixed effects (incl. DiD),Transition from centrally planned to market economy and EU accession,,,
Quasi-experimental,Fixed effects (incl. DiD),"""10-Point Water Plan"" policy implementation to reduce industrial water pollution in China",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of carbon trading policy in various provinces in China,,,
Quasi-experimental,Difference-in-Differences,Implementation of a national environmental regulation policy in China to reduce SO2 emissions,,,
Quasi-experimental,Fixed effects (incl. DiD),Environmental regulation affecting private listed companies in heavy polluting industries,,,
Quasi-experimental,Fixed effects (incl. DiD),Shanty-Area Renovation (SAR) scheme implemented by the Chinese government to facilitate urban regeneration and redevelop shanty areas.,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Innovation City Pilot (ICP) policy in selected Chinese cities,,,
Quasi-experimental,Fixed effects (incl. DiD),Introduction of the Chinese National Enterprise Credit Information Publicity System (NECIPS) which facilitates credit information sharing,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's new agricultural subsidy policy,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of a digital government policy in China at the city level,,,
Quasi-experimental,Difference-in-Differences (Fixed effects),Policy changes introducing market makers and relaxing arbitrage restrictions on Chinese ETF markets,,,
Experimental,Randomised controlled trial,Conditional cash transfer program (PROGRESA/Oportunidades),,,
Experimental,Randomised controlled trial,Improved on-farm storage of maize (agricultural intervention to reduce post-harvest losses),,,
Quasi-experimental,Statistical matching,"Involuntary resettlement of households due to railway infrastructure development in South Wello Zone, Amhara Region, Ethiopia",,,
Experimental,Randomised controlled trial,"Social comparison nudge (comparing household water use to neighborhood averages/minimums), and public environmental messages about the water crisis and individual responsibility.",,,
Experimental,Randomised controlled trial,"Low-cost, scalable, online interventions providing information about voter registration, highlighting election stakes, and information on the distance between respondents’ preferences and party platforms",,,
Quasi-experimental,Statistical matching,Cooperative membership (joining maize cooperatives),,,
Quasi-experimental,Statistical matching,Agro-food quality certification and participation in agricultural organizations (cooperatives and contract farming) among vegetable farmers,,,
Quasi-experimental,Fixed effects (incl. DiD),"Introduction of bundled farmer–trader contracts providing technology, finance, inputs, and market access to ranchers/farmers",,,
Quasi-experimental,Fixed effects (incl. DiD),China’s Environmental Protection Tax (EPT) reform,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China’s Environmental Protection Tax Law,,,
Quasi-experimental,Statistical matching,"REDD+ program targeting smallholder farms in the Brazilian Amazon, aiming to reduce deforestation",,,
Quasi-experimental,Statistical matching,"Use of rural credit policy, rural insurance policy, and the combination of both policies among farmers in São Paulo State, Brazil, with comparisons made against establishments that received neither policy.",,,
Quasi-experimental,Regression discontinuity design,"Comparison of single-round and two-round electoral systems in Brazilian elections, focusing on how the requirement of a second round (with at least 50% of votes) changes politicians' incentives and public goods provision.",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of inter-regional ultra-high voltage (UHV) power transmission projects in Chinese prefecture-level cities,,,
Quasi-experimental,Fixed effects (incl. DiD),Vertical management reform of environmental protection agencies (environmental centralization) in China,,,
Quasi-experimental,Fixed effects (incl. DiD),Establishment of China's Nature Reserves (protected areas restricting resource extraction and land use),,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of environmental information disclosure policy in Chinese municipalities,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of nature reserves managed by different administrative levels within China’s hierarchical nature reserve management system,,,
Experimental,Randomised controlled trial,Weekend and holiday booster classes for 7th and 8th grade girls in Kakuma refugee camp,,,
Quasi-experimental,Fixed effects (incl. DiD),Central environmental protection inspection implemented by the Chinese government targeting heavily polluting corporates,,,
Quasi-experimental,Fixed effects (incl. DiD),"Central Ecological Transfer Payment (Ecological Fiscal Transfer, EFT) to key ecosystem zones in China",,,
Quasi-experimental,Fixed effects (incl. DiD),"China's 1994–1998 housing reform, which allowed state employees to buy their rented public houses at subsidized prices",,,
Quasi-experimental,Fixed effects (incl. DiD),"Strengthening and centralizing environmental oversight by the central government over local governments in China, including the implementation of the 'one vote veto' system for environmental conservation.",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Low-Carbon City Pilot Policy (LCCP) in selected Chinese cities,,,
Quasi-experimental,Fixed effects (incl. DiD),Digital village construction in rural areas,,,
Experimental,Randomised controlled trial,"Daily iron syrup (12.5 mg iron), multiple micronutrient powders (MNPs, including 12.5 mg iron), or placebo, administered for 3 months to 8-month-old children",,,
Experimental,Randomised controlled trial,"Daily supplementation with iron syrup or iron-containing multiple micronutrient powders for 3 months in children, compared with placebo.",,,
Experimental,Randomised controlled trial,Subsidized provision of a pair of traction oxen through a matching grant to selected farmers,,,
Experimental,Randomised controlled trial,"Behavioural nudges for water conservation, including social recognition messages, public good appeals, social norm comparisons, and financial feedback messages sent to households",,,
Quasi-experimental,Statistical matching,State-subsidized contractual arrangement in which the government subsidizes contract prices paid to farmers by a private tomato cannery,,,
Experimental,Randomised controlled trial,eHealth education provided by trained community health workers to school-going adolescent girls diagnosed with anemia,,,
Experimental,Randomised controlled trial,Two educational interventions delivered to low digital literacy populations in urban Pakistan via a randomized experiment: (1) video-based general educational messages about misinformation; (2) video-based general educational messages augmented with personalized feedback based on individuals’ past engagement with fake news.,,,
Quasi-experimental,Fixed effects (incl. DiD),Resource-Exhausted City Promotion program (supportive policy for resource-exhausted cities),,,
Experimental,Randomised controlled trial,Addition of prebiotic galacto-oligosaccharides/fructo-oligosaccharides (GOS/FOS) at two different doses to iron-fortified infant cereal and consumption by Kenyan infants for 3 weeks,,,
Experimental,Randomised controlled trial,"Administration of Mojeaga remedy (a blend of Alchornea cordifolia, Pennisetum glaucum and Sorghum bicolor extracts) as adjunct to conventional oral iron therapy for 2 weeks among pregnant women diagnosed with anemia, compared to conventional iron therapy alone.",,,
Experimental,Randomised controlled trial,"Information interventions to improve domestic food safety: (1) leaflet with tips for best practices, (2) leaflet plus consumer education sessions conveyed by phone, compared to a control group.",,,
Quasi-experimental,Fixed effects (incl. DiD),"Theory-based nutrition education provided during pregnancy, with two active intervention arms: (1) couple group (husband and wife receive nutrition education together), (2) women alone group (pregnant women receive education alone), and (3) a control group receiving routine antenatal care. Education delivered through monthly home visits and counseling leaflets, guided by theory of planned behavior, and emphasizing male partner involvement.",,,
Experimental,Randomised controlled trial,Tele-education and counseling on breastfeeding delivered to mothers via phone calls and text messages over a 4-week period,,,
Quasi-experimental,Fixed effects (incl. DiD),Unconditional cash transfers (Hunger Safety Net Program) to poor households in northern Kenya,,,
Quasi-experimental,Fixed effects (incl. DiD),"Economic development program providing poultry assets, gardening skills, and saving training in addition to the Positive Deviant/Hearth nutrition program",,,
Quasi-experimental,Fixed effects (incl. DiD),Promotion of the Rural E-Commerce Demonstration County (REDC) policy,,,
Experimental,Randomised controlled trial,Micronutrient supplementation (iron or multiple micronutrients) in infants under six months of age,,,
Experimental,Randomised controlled trial,Randomized improvements in the electricity grid to improve service quality,,,
Quasi-experimental,"Difference-in-differences (Fixed effects, incl. DiD)",Improved access to electricity via the operation of new electrical substations between 2011 and 2019,,,
Quasi-experimental,Fixed effects (incl. DiD),Feed-in tariffs subsidy policy for wind power development,,,
Quasi-experimental,Fixed effects (incl. DiD) and Instrumental variable estimation,Implementation of China's New Energy Demonstration City (NEDC) pilot policy,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation and strengthening of national renewable energy policies,,,
Quasi-experimental,Fixed effects (incl. DiD),"Transformation of firms' energy consumption structure (e.g., shift from coal to cleaner energy sources) in China",,,
Quasi-experimental,Fixed effects (incl. DiD),Imposition of mandatory energy intensity targets for provincial governments in China,,,
Quasi-experimental,Fixed effects (incl. DiD),"Gradual decline in nation-wide electric vehicle (EV) purchase subsidies implemented by the Chinese government, observed over six periods across 224 prefecture-level cities.",,,
Quasi-experimental,Fixed effects (incl. DiD),2010 Iranian Energy Subsidy Reform (a large increase in energy prices and reduction/removal of energy subsidies affecting all manufacturing firms),,,
Quasi-experimental,Fixed effects (incl. DiD),"Jyotigram Yojana, a rural electrification policy implemented in Gujarat, India between 2003–08, aimed at increasing rural electricity access.",,,
Quasi-experimental,Fixed effects (incl. DiD),Government subsidies to new energy vehicle enterprises,,,
Quasi-experimental,"Fixed effects (incl. DiD), Statistical matching",Government subsidies and tax incentives to photovoltaic and wind power companies,,,
Quasi-experimental,Fixed effects (incl. DiD),"Development of wind power infrastructure in counties (i.e., increased wind power capacity density)",,,
Quasi-experimental,Fixed effects (incl. DiD),China’s coal-to-gas (CTG) policy to promote transition from coal to gas for clean energy and reduced air pollution,,,
Quasi-experimental,Fixed effects (incl. DiD),Switch from coal-based heating to gas/electricity-based clean residential heating in rural China,,,
Quasi-experimental,Fixed effects (incl. DiD),Market-oriented pilot reform of the heating sector in China starting in 2003,,,
Quasi-experimental,Fixed effects (incl. DiD),National Comprehensive Demonstration of Energy Saving and Emission Reduction Fiscal Policy (ESER policy),,,
Quasi-experimental,Statistical matching,Implementation of clean winter heating policies in China,,,
Experimental,Randomised controlled trial,"Distribution of off-grid solar lights to households, with variation in subsidies and provision (including free distribution) to assess impacts on kerosene lamp usage, emissions, household expenditures, and health.",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation and collaboration of energy saving and emission reduction (ESER) policies across prefecture-level cities in the Yellow River Basin,,,
Quasi-experimental,Fixed effects (incl. DiD),Grid electricity access (rural electrification) in Ethiopia and Nigeria,,,
Quasi-experimental,Fixed effects (incl. DiD),Construction of new energy demonstration cities (policy intervention to optimize urban energy structure and promote green technological innovation),,,
Quasi-experimental,Fixed effects (incl. DiD),Government subsidies to new energy enterprises,,,
Quasi-experimental,Fixed effects (incl. DiD),Government R&D subsidies to renewable energy companies,,,
Quasi-experimental,Fixed effects (incl. DiD),Exemption of the new energy vehicle purchase tax policy implemented by the Chinese government in 2014,,,
Quasi-experimental,Fixed effects (incl. DiD),Government subsidies to new-energy enterprises,,,
Experimental,Randomised controlled trial,Randomized expansion of electric grid infrastructure (including randomized price offers for electricity connections) to under grid households and rapid rollout of secondary school electricity connections in rural Western Kenya.,,,
Experimental,Randomised controlled trial,Monthly peer comparison reports (nudges) on household energy consumption,,,
Quasi-experimental,Fixed effects (incl. DiD),"Implementation of the Clean Winter Heating Policy (CWHP) in northern China, mandating changes to residential heating and indirectly affecting law-violation behaviors and prosociality.",,,
Experimental,Randomised controlled trial,Provision and use of liquefied petroleum gas (LPG) stoves to replace traditional biomass stoves for cooking in intervention households,,,
Quasi-experimental,Fixed effects (incl. DiD),Differential Electricity Pricing (DEP) policy imposing electricity surcharges on enterprises using 'eliminated' and 'restricted' production technologies,,,
Experimental,Randomised controlled trial,"Customized and general information feedback interventions (including energy-saving knowledge, social comparisons, environmental education-based information) delivered via online and offline methods to influence individual electricity saving behavior",,,
Experimental,Randomised controlled trial,"Behavioral nudges in customer communication regarding payment scheduling and flexibility for pay-as-you-go solar system customers, including planning assistance and disclosure of flexible payment options.",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of a pilot energy quota trading (EQT) policy in selected Chinese cities starting in 2016,,,
Quasi-experimental,Other,"Subsidy programs in Vietnam's residential electricity market, including both cash transfer subsidies and quantity-based subsidies under increasing block rate pricing.",,,
Quasi-experimental,Fixed effects (incl. DiD),NEVs (New Energy Vehicles) Pilot Policy introduced by the Chinese government to promote NEVs in public and private transport sectors,,,
Quasi-experimental,Fixed effects (incl. DiD),"Clean heating policy implemented in northern Chinese cities since 2017, promoting a shift from coal-based heating to cleaner alternatives such as natural gas and electricity.",,,
Quasi-experimental,"Fixed effects (incl. DiD), Statistical matching",New Energy Demonstration City Program,,,
Quasi-experimental,Other,"Renewable energy (RE) quota system implemented across Chinese provinces, aiming to increase the share of renewable energy in electricity generation.",,,
Quasi-experimental,Regression discontinuity design,Implementation and promotion of cleaner winter heating measures in northern China between 2014–2017,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China’s Energy-Consuming Rights Trading (ECRT) policy,,,
Quasi-experimental,Statistical matching,Implementation of New Energy Demonstration City (NEDC) Policy in selected Chinese cities,,,
Quasi-experimental,Fixed effects (incl. DiD),Electrification through mini-grids (microhydro plants) in Nepal,,,
Quasi-experimental,Instrumental variable estimation,Provision of electricity to rural households,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of New Energy Vehicle (NEV) pilot projects in selected Chinese cities,,,
Quasi-experimental,Fixed effects (incl. DiD),"Implementation of an energy intensity reduction regulation in manufacturing sectors (specifically, in the cement industry in India) between 2007 and 2015.",,,
Quasi-experimental,Instrumental variable estimation,Construction and expansion of extra-high voltage (EHV) and ultra-high voltage (UHV) power grids (mega-grid) in China,,,
Quasi-experimental,Fixed effects (incl. DiD),Government subsidies provided to new energy vehicle enterprises,,,
Quasi-experimental,"Fixed effects (incl. DiD), Instrumental variable estimation",Implementation of the New Energy Demonstration City (NEDC) pilot policy in selected cities,,,
Quasi-experimental,Instrumental variable estimation,"Village-level implementation of the Deen Dayal Upadhyaya Gram Jyoti Yojana (DDUGJY) program, which aimed to improve the quality and reliability of rural residential electricity supply",,,
Quasi-experimental,Fixed effects (incl. DiD),Operation of biomass power generation plants as a treatment to assess their impact on ambient air quality compared to regions without such plants.,,,
Experimental,Randomised controlled trial,Offering households an advanced clean cookstove (tier 5 gasifying wood stove),,,
Quasi-experimental,Other,Five weeks of nutrition education using emotion-based nutrition messages delivered to the experimental group,,,
Quasi-experimental,Fixed effects (incl. DiD),Conditional Cash Transfers (CCTs) through the Familia en Acción programme in rural Colombia,,,
Quasi-experimental,Statistical matching,"Science and technology backyard program (combining farmer field schools, field demonstrations, and case-to-case counselling to promote sustainable soil nutrient management among smallholder farmers)",,,
Quasi-experimental,Fixed effects (incl. DiD),Government R&D and production subsidies to hydrogen energy enterprises,,,
Quasi-experimental,Fixed effects (incl. DiD),Electricity cost supporting scheme implemented by the Bolivian government during the COVID-19 pandemic (April to June 2020) to reduce household energy bills.,,,
Quasi-experimental,Other,Energy infrastructure investments through public-private-partnerships aimed at increasing renewable electricity generation,,,
Quasi-experimental,Fixed effects (incl. DiD),Reductions in industrial electricity prices implemented by the Chinese government since 2018,,,
Quasi-experimental,Fixed effects (incl. DiD),Introduction and/or implementation of feed-in tariffs (FITs) for renewable energy technologies,,,
Qualitative,Outcome harvesting,Improved cookstoves to reduce household air pollution exposure,,,
Qualitative,Other,Systematic literature review of customer behaviour under Time of Use (ToU) electricity tariffs,,,
Experimental,Randomised controlled trial,"Personalized residential energy feedback provided to households via various channels (e.g., energy units, energy cost, tailored information) to encourage reduction in energy consumption",,,
Quasi-experimental,Instrumental variable estimation,Tiered pricing for household electricity (TPHE) policy,,,
Experimental,Randomised controlled trial,"An information campaign in Nigeria using different types of campaign messages, including anxiety-inducing messages to influence irregular migration intentions.",,,
Quasi-experimental,Other,"['cash transfers', 'technological solutions (non-infrastructure) such as drought-resistant seeds, fertilizers, water harvesting, recycling', 'microinsurance, contingent credit, and portfolio-level insurance against disasters', 'social protection programming', 'financial inclusion and livelihoods (e.g., microcredit, financial education, business training)', 'environmental and natural resource management', 'multicomponent intervention packages', 'psychosocial interventions', 'capacity building for civil society or public decision makers', 'disaster prevention and response policies']",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's new energy demonstration city (NEDC) policy aimed at promoting urban energy innovation,,,
Experimental,Randomised controlled trial,"Yogurt supplementation (daily 50g) and nutritional education for mothers, compared to nutritional education alone and usual care (control) among at-risk infants in Dhaka's slums.",,,
Experimental,Randomised controlled trial,"Provision of two egg-laying chickens to households and video-based nutrition education focusing on dietary diversity, poultry production, and egg consumption for mothers in intervention clusters; control group received standard nutrition education from local health workers.",,,
Quasi-experimental,Fixed effects (incl. DiD),Lockdown policy and food security emergency policy (including transport policy and joint supply emergency policy) aimed at stabilizing food prices during the COVID-19 pandemic in China,,,
Experimental,Randomised controlled trial,"Agricultural training on insect farming with starter kits (production), and agricultural training plus nutrition education (production and consumption), compared to control (no intervention).",,,
Experimental,Randomised controlled trial,"Midwife-led group breastfeeding counseling program based on Bandura's theoretical structures, delivered through four sessions during pregnancy and additional face-to-face support after childbirth",,,
Qualitative,Other,"Behaviour change interventions targeting maternal and child nutrition, including components such as behaviour change theory, communication, counselling, persuasion, incentivisation, and environmental restructuring, mapped to the COM-B model and Behaviour Change Wheel.",,,
Quasi-experimental,Other,"Nutritional interventions (variably defined across studies) administered to preschool children, compared with control or standard care",,,
Experimental,Randomised controlled trial,"Antenatal nutritional interventions including balanced protein and energy supplementation, multiple micronutrient supplementation, lipid-based nutrient supplements, omega-3 fatty acids supplementation, high-dose calcium supplementation, and antenatal dietary education programs among pregnant women",,,
Experimental,Randomised controlled trial,Food-based interventions aimed at improving linear growth in children under five,,,
Experimental,Randomised controlled trial,Training farmers in Alternate Wetting and Drying (AWD) water reduction technique and providing social comparison messages,,,
Experimental,Randomised controlled trial,Provision of free hand-powered irrigation pumps to female heads of household via public lotteries,,,
Experimental,Randomised controlled trial,Peer counselling to improve complementary feeding practices,,,
Experimental,Randomised controlled trial,"A collective intervention to encourage the consumption of fruits and vegetables delivered to the intervention group, in addition to regular physical exercise, compared to a control group participating only in regular physical exercise.",,,
Quasi-experimental,Statistical matching,Index-based agricultural insurance facilitated by the PADAER project,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of mandatory energy-saving targets under China's 11th Five Year Plan,,,
Quasi-experimental,Statistical matching,Homegrown School Feeding Program,,,
Experimental,Randomised controlled trial,Nutrition distance education program using an educational compact disk (CD) provided to street children in the intervention group,,,
Quasi-experimental,Fixed effects (incl. DiD),Community-based Photovoltaic Poverty Alleviation (PVPA) program installing village-level PV solar stations,,,
Quasi-experimental,Statistical matching,"Participation in an agroecology group providing knowledge, networks, and markets, compared to non-participation among smallholder farmers in Southeast Nigeria.",,,
Experimental,Randomised controlled trial,"A package of interventions including: family member support, two antenatal breastfeeding counselling sessions, distribution of educational booklet and WhatsApp video messages, hands-on nurse training after delivery, and ongoing support through multiple home visits by lady health workers up to 6 months, along with the training of doctors, nurses and lady health workers on breastfeeding support.",,,
Experimental,Randomised controlled trial,"Breastfeeding counseling based on mixed reality technology provided to pregnant women, compared against traditional PowerPoint-based counseling.",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of Ultra-Low Emission Standards (ULES) for thermal power companies in China,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the New Energy Demonstration City Policy (NEDCP) in selected Chinese cities,,,
Quasi-experimental,Fixed effects (incl. DiD),"Implementation of the New Energy Demonstration City Policy (NEDCP), an innovation policy promoting green and low-carbon development in selected Chinese cities",,,
Quasi-experimental,Fixed effects (incl. DiD),Provision of green special transfer payment funds to selected demonstration cities in China to support the construction of green projects aimed at energy saving and emission reduction.,,,
Experimental,Randomised controlled trial,"12 months of free liquefied petroleum gas (LPG) combined with behavioral support delivered to households, followed by a period with no free fuel",,,
Quasi-experimental,Fixed effects (incl. DiD),Coal-to-gas conversion policy (CTG policy) implemented by the Chinese government in pilot cities,,,
Quasi-experimental,Other,Deployment of renewable energy technologies and implementation of renewable energy policies across developed and developing countries,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of provincial energy intensity reduction targets in China,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of dual control system of total energy consumption and energy intensity (regional energy regulation stringency) on Chinese listed firms,,,
Quasi-experimental,Fixed effects (incl. DiD),Local content requirements in Indian solar auctions (auctions with and without local content policies),,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Clean Heating Policy in northern Chinese cities to reduce energy consumption and air pollution through improved heating systems.,,,
