design,method,intervention
Quasi-experimental,Fixed effects (incl. DiD),County-to-district transformation in Chinese prefecture-level cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of low-carbon city policy in selected Chinese prefectural cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of green fiscal policy in Chinese regions
Quasi-experimental,Fixed effects (incl. DiD),Introduction of Green Finance Innovation and Reform Pilot Zones in select Chinese provinces
Quasi-experimental,Fixed effects (incl. DiD),Implementation of stricter ambient air quality standards in cities
Quasi-experimental,Fixed effects (incl. DiD),Introduction of Green Finance Reform and Innovation Pilot Zones in China
Quasi-experimental,Fixed effects (incl. DiD),Implementation of a carbon emissions trading scheme (ETS) in Chinese provinces
Quasi-experimental,Fixed effects (incl. DiD),Implementation of digitalization policy in seven pilot zones in China
Quasi-experimental,Regression discontinuity design,Minimum wage increases at county borders in China
Quasi-experimental,Fixed effects (incl. DiD),Expansion of government spending in China
Quasi-experimental,Fixed effects (incl. DiD),Implementation of smart city pilot projects in selected Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Establishment of pilot free trade zones in selected Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Withdrawal of local environmental monitoring power to central agencies in China
Quasi-experimental,Fixed effects (incl. DiD),Implementation of a carbon emission trading market for Chinese firms
Quasi-experimental,Fixed effects (incl. DiD),Implementation of carbon regulatory policy in China
Quasi-experimental,Fixed effects (incl. DiD),Implementation of an environmental tax on heavy-polluting manufacturing firms
Quasi-experimental,Fixed effects (incl. DiD),Provision of government financial assistance to households
Quasi-experimental,Fixed effects (incl. DiD),Mergers and acquisitions by Chinese listed companies
Quasi-experimental,Fixed effects (incl. DiD),Implementation of National Intellectual Property Demonstration City (NIPDC) policy in selected Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Refund of consumption tax (cashback) to low-income citizens via Citizen Card
Quasi-experimental,Difference-in-Differences,Transfer of funds and autonomy to rural villages for development investments
Quasi-experimental,Instrumental variable estimation,Liberalization of air transport services via open skies agreements
Quasi-experimental,Fixed effects (incl. DiD),Implementation of green power trading policy for renewable energy generation enterprises
Quasi-experimental,Statistical matching,Implementation of minimum support price for rice farmers
Quasi-experimental,Fixed effects (incl. DiD),Implementation of National Innovative City Pilot Policy in selected Chinese cities
Quasi-experimental,Synthetic control,Adoption of numerical fiscal rules in CFA zone countries
Quasi-experimental,Fixed effects (incl. DiD),Implementation of smart city policies in Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Expansion of higher education enrollment in China in 1999
Quasi-experimental,Fixed effects (incl. DiD),Implementation of smart city pilot programs in selected urban areas
Experimental,Randomised controlled trial,Combined counseling and violence prevention for women experiencing intimate partner violence
Quasi-experimental,Fixed effects (incl. DiD),Implementation of innovative pilot city policies targeting industrial pollution
Quasi-experimental,Statistical matching,Provision of interest-free credit to smallholder farmers
Quasi-experimental,Other,Half-day environmental education classroom activity for fourth-grade students
Quasi-experimental,Fixed effects (incl. DiD),Implementation of environmental tax reform in 2018 in China
Quasi-experimental,Fixed effects (incl. DiD),"Provincial-level agricultural environmental regulations through afforestation, water conservancy, and protection projects"
Quasi-experimental,Fixed effects (incl. DiD),Conditional cash transfers to poor households through the Progresa program
Quasi-experimental,Statistical matching,Implementation of marine ecological compensation policy in coastal areas
Quasi-experimental,Fixed effects (incl. DiD),Government investment in green projects in Chinese prefecture-level cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of low-carbon city pilot policies in selected Chinese cities
Experimental,Randomised controlled trial,Monthly parent workshops and book-lending library promoting parent-child reading
Experimental,Randomised controlled trial,Home cook and family education sessions plus salt intake monitoring for 12 months
Quasi-experimental,Statistical matching,Implementation of the Sloping Land Conversion Program among farmers
Quasi-experimental,Fixed effects (incl. DiD),Agricultural extension services and enhanced social networks for conservation tillage adoption
Quasi-experimental,Fixed effects (incl. DiD),Involving private sector retailers in selling subsidized fertilizer to farmers
Quasi-experimental,Statistical matching,Introduction of climate-smart agriculture technologies via farmer field schools
Experimental,Randomised controlled trial,Maternal nutrition education for mothers in rural Uganda
Experimental,Randomised controlled trial,Individualized breastfeeding counseling by trained nurses for new mothers
Quasi-experimental,Statistical matching,Provision of school breakfasts to children in poor rural areas
Experimental,Randomised controlled trial,Continuous breastfeeding education via WhatsApp for six months
Quasi-experimental,Statistical matching,Unconditional cash transfers via Benazir Income Support Programme to households
Experimental,Randomised controlled trial,Breastfeeding counselling and support for mothers during pregnancy and postpartum
Experimental,Randomised controlled trial,Growth mindset psychological training for necessity entrepreneurs
Quasi-experimental,Fixed effects (incl. DiD),Unconditional cash transfers via the Benazir Income Support Program
Quasi-experimental,Other,Increased government agricultural expenditure under the CAADP framework
Experimental,Randomised controlled trial,WhatsApp-delivered PRECEDE-based educational sessions for mothers on otitis media prevention
Quasi-experimental,Statistical matching,Provision of open water access to tilapia fish farms
Experimental,Randomised controlled trial,"Strengthening ANC with nutrition and infection care, including point-of-care testing"
Experimental,Randomised controlled trial,Monthly home visits by trained community workers to promote child development and nutrition
Quasi-experimental,Other,Cox’s Interaction Model-based nutrition education for schoolchildren over five weeks
Experimental,Randomised controlled trial,Integrated community-based nutrition interventions for pregnant women and their children
Experimental,Randomised controlled trial,Multi-component school-based nutrition and physical activity program for children aged 9–11
Experimental,Randomised controlled trial,Community actors delivered nutrition and health behavior change communication to pregnant women
Quasi-experimental,Fixed effects (incl. DiD),Appointment of river chiefs to oversee rivers and reduce industrial water pollution
Experimental,Randomised controlled trial,Provision of improved storage technology to farmers in India
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's environmental tax law targeting heavy-polluting enterprises
Quasi-experimental,Fixed effects (incl. DiD),Implementation of a low-carbon city pilot (LCP) policy in select Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the China Industrial Internet Pilot Demonstration Project
Quasi-experimental,Fixed effects (incl. DiD),Implementation of livestock environmental regulations in China
Quasi-experimental,Statistical matching,Farmer Field School of Integrated Crop Management training for maize farmers
Quasi-experimental,Fixed effects (incl. DiD),Corporate income tax rate preferences for environmental protection firms
Quasi-experimental,Difference-in-Differences,Implementation of China's New Environmental Protection Law
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China’s poverty alleviation policy in targeted counties
Quasi-experimental,Fixed effects (incl. DiD),"Extension of maternity, paternity, and parental leave legislation"
Quasi-experimental,Fixed effects (incl. DiD),Transition to market economy and EU accession in post-socialist countries
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's '10-Point Water Plan' to reduce industrial water pollution
Quasi-experimental,Fixed effects (incl. DiD),Implementation of carbon trading policies in Chinese provinces
Quasi-experimental,Difference-in-Differences,Implementation of national SO2 emissions reduction regulation in China
Quasi-experimental,Fixed effects (incl. DiD),Stricter environmental regulations applied to heavy-polluting private listed companies
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the nationwide Shanty-area Renovation (SAR) scheme in Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of Innovation City Pilot (ICP) policy in selected Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Introduction of the Chinese National Enterprise Credit Information Publicity System (NECIPS)
Quasi-experimental,Fixed effects (incl. DiD),Implementation of a new agricultural subsidy policy for grain crops in China
Quasi-experimental,Fixed effects (incl. DiD),Implementation of a digital government policy in Chinese cities
Quasi-experimental,Difference-in-Differences,Introduction of market makers and relaxation of arbitrage restrictions for Chinese ETFs
Experimental,Randomised controlled trial,Randomized expansion of Mexico’s PROGRESA/Oportunidades conditional cash transfer program
Experimental,Randomised controlled trial,Provision of improved on-farm maize storage technology to smallholder households
Quasi-experimental,Statistical matching,Involuntary resettlement of households for railway infrastructure construction
Experimental,Randomised controlled trial,Social comparison and public environmental messages to reduce household water use
Experimental,Randomised controlled trial,Online information campaigns providing election and party platform details to youth
Quasi-experimental,Statistical matching,Membership in agricultural cooperatives among maize farmers
Quasi-experimental,Statistical matching,Agro-food quality certification for vegetable farmers
Quasi-experimental,Fixed effects (incl. DiD),"Introduction of bundled farmer–trader contracts offering technology, finance, inputs, and market access"
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China’s environmental protection tax reform for energy firms
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China’s Environmental Protection Tax Law for polluting enterprises
Quasi-experimental,Fixed effects (incl. DiD),Implementation of REDD+ projects targeting smallholder farms in the Brazilian Amazon
Quasi-experimental,Statistical matching,Provision of rural credit and rural insurance to farmers
Quasi-experimental,Regression discontinuity design,Switching from single- to two-round electoral rules in Brazilian elections
Quasi-experimental,Fixed effects (incl. DiD),Implementation of inter-regional ultra-high voltage transmission projects
Quasi-experimental,Fixed effects (incl. DiD),Vertical centralization of environmental protection agencies in Chinese provinces
Quasi-experimental,Fixed effects (incl. DiD),Establishment of Nature Reserves restricting resource extraction and land use
Quasi-experimental,Fixed effects (incl. DiD),Implementation of environmental information disclosure policy in Chinese municipalities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of nature reserves managed by different administrative levels in China
Experimental,Randomised controlled trial,Weekend and holiday booster classes for 7th and 8th grade girls
Quasi-experimental,Fixed effects (incl. DiD),Central environmental protection inspections of pollution-intensive firms
Quasi-experimental,Fixed effects (incl. DiD),Central ecological fiscal transfers to counties for environmental quality improvement
Quasi-experimental,Fixed effects (incl. DiD),Subsidized homeownership for state employees through public housing reform
Quasi-experimental,Fixed effects (incl. DiD),Central government oversight and enforcement of environmental regulations on local governments
Quasi-experimental,Fixed effects (incl. DiD),Implementation of low-carbon city pilot policy in selected Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of digital infrastructure initiatives in rural villages
Experimental,Randomised controlled trial,Daily iron syrup or micronutrient powder to 8-month-old children for 3 months
Experimental,Randomised controlled trial,Daily iron syrup or micronutrient powder for three months to Bangladeshi children
Experimental,Randomised controlled trial,Randomized subsidized provision of traction oxen to smallholder farmers
Experimental,Randomised controlled trial,Behavioural messages encouraging water conservation among Cape Town households
Quasi-experimental,Fixed effects (incl. DiD),Subsidized contract prices for tomato farmers through a public-private partnership
Experimental,Randomised controlled trial,eHealth education delivered by community health workers to adolescent girls
Experimental,Randomised controlled trial,Educational videos and personalized feedback to improve identifying fake news
Quasi-experimental,Fixed effects (incl. DiD),Supportive policy for resource-exhausted cities to promote transformation and carbon reduction
Experimental,Randomised controlled trial,Adding prebiotics to iron-fortified infant cereal for three weeks
Experimental,Randomised controlled trial,Mojeaga remedy plus conventional oral iron therapy for treating anemia in pregnant women
Experimental,Randomised controlled trial,Leaflet and phone-based education to improve kitchen cloth hygiene
Quasi-experimental,Fixed effects (incl. DiD),Theory-based nutrition education for pregnant women with or without male partner involvement
Experimental,Randomised controlled trial,Tele-education and counseling on breastfeeding via phone and text messages to mothers
Quasi-experimental,Fixed effects (incl. DiD),Unconditional cash transfers to poor households in arid and semi-arid Kenyan counties
Quasi-experimental,Fixed effects (incl. DiD),Economic development support added to nutrition programs for rural households
Quasi-experimental,Fixed effects (incl. DiD),Promotion of Rural E-Commerce Demonstration County (REDC) policy
Qualitative,Other,"Micronutrient supplementation, primarily iron, to infants under six months old"
Experimental,Randomised controlled trial,Randomized improvements to electricity grid infrastructure in Kyrgyz households
Quasi-experimental,Regression discontinuity design,Improved access to electricity via new substation operations
Quasi-experimental,Fixed effects (incl. DiD),Implementation of feed-in tariffs for wind power plants in Chinese provinces
Quasi-experimental,Fixed effects (incl. DiD),Implementation of New Energy Demonstration City pilot policy in selected Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of national renewable energy policies
Quasi-experimental,Fixed effects (incl. DiD),Transitioning firms from traditional to cleaner energy sources
Quasi-experimental,Fixed effects (incl. DiD),Implementation of mandatory provincial energy intensity targets in China
Quasi-experimental,Fixed effects (incl. DiD),Gradual reduction of national subsidies for electric vehicle purchases in China
Quasi-experimental,Fixed effects (incl. DiD),Increase in energy prices via Iranian energy subsidy reform in 2010
Quasi-experimental,Fixed effects (incl. DiD),"Village-level rural electrification via the Jyotigram Yojana in Gujarat, India"
Quasi-experimental,Fixed effects (incl. DiD),Government subsidies to NEV firms to incentivize R&D and innovation
Quasi-experimental,Statistical matching,Implementation of government subsidies and tax incentives to PV and wind power firms
Quasi-experimental,Fixed effects (incl. DiD),Deployment of wind power infrastructure in Chinese counties
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China’s coal-to-gas (CTG) policy to reduce air pollution
Quasi-experimental,Fixed effects (incl. DiD),Substitution of solid fuels with gas/electric heating in rural households
Quasi-experimental,Fixed effects (incl. DiD),Market-oriented pilot reform of China's public heating sector
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's ESER green fiscal policy pilot program
Quasi-experimental,Fixed effects (incl. DiD),Implementation of clean winter heating policies in Chinese cities
Experimental,Randomised controlled trial,Distribution of off-grid solar lights to rural households
Quasi-experimental,Fixed effects (incl. DiD),Collaboration of energy saving and emission reduction policies in the Yellow River Basin
Quasi-experimental,Fixed effects (incl. DiD),Expansion of grid electricity access to rural households
Quasi-experimental,Fixed effects (incl. DiD),Implementation of new energy demonstration city policies
Quasi-experimental,Fixed effects (incl. DiD),Provision of government subsidies to new energy enterprises
Quasi-experimental,Fixed effects (incl. DiD),Provision of R&D subsidies to renewable energy companies in China
Quasi-experimental,Fixed effects (incl. DiD),2014 purchase tax exemption policy for new energy vehicles in China
Quasi-experimental,Fixed effects (incl. DiD),Government subsidies to new-energy enterprises in China
Experimental,Randomised controlled trial,Randomized expansion of electric grid infrastructure to under grid rural households
Experimental,Randomised controlled trial,Monthly peer comparison energy use reports sent to households
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Clean Winter Heating Policy in northern China
Experimental,Randomised controlled trial,Provision of LPG stoves to households using traditional biomass stoves
Quasi-experimental,Fixed effects (incl. DiD),Imposing higher electricity tariffs on inefficient industrial enterprises
Experimental,Randomised controlled trial,Customized information feedback provided to households for electricity consumption reduction
Experimental,Randomised controlled trial,Behavioral nudges on payment planning and flexibility for PAYG solar customers
Quasi-experimental,Fixed effects (incl. DiD),Implementation of energy quota trading pilot policy in selected Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Electricity price subsidies through cash transfers and block pricing for households
Quasi-experimental,Fixed effects (incl. DiD),Implementation of NEVs Pilot Policy promoting new energy vehicles in urban transport
Quasi-experimental,Fixed effects (incl. DiD),Implementation of a clean heating policy in northern Chinese cities since 2017
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the New Energy Demonstration City Program in selected cities
Quasi-experimental,Other,Implementation of provincial renewable energy quotas in China's electricity sector
Quasi-experimental,Regression discontinuity design,Implementation of cleaner winter heating policies in northern China
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Energy-Consuming Rights Trading (ECRT) policy in China
Quasi-experimental,Fixed effects (incl. DiD),Implementation of New Energy Demonstration City (NEDC) policy in selected Chinese cities
Quasi-experimental,Difference-in-Differences,Installation of microhydro-powered mini-grids in rural Nepal
Quasi-experimental,Instrumental variable estimation,Provision of electricity to rural households
Quasi-experimental,Fixed effects (incl. DiD),Implementation of new energy vehicle pilot projects in Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Mandatory energy intensity regulations for cement manufacturing plants
Quasi-experimental,Instrumental variable estimation,Expansion of extra-high and ultra-high voltage mega-grids in Chinese regions
Quasi-experimental,Fixed effects (incl. DiD),Provision of government subsidies to listed new energy vehicle companies
Quasi-experimental,Fixed effects (incl. DiD),Implementation of new energy demonstration city pilot policies in selected Chinese cities
Quasi-experimental,Instrumental variable estimation,Government program improving rural residential electricity quality and reliability
Quasi-experimental,Fixed effects (incl. DiD),Introduction of biomass power plants in selected regions
Experimental,Randomised controlled trial,Provision of advanced clean cookstoves to randomly selected households in Vientiane
Quasi-experimental,Other,Emotion-based nutrition education for adolescents over five weeks
Quasi-experimental,Fixed effects (incl. DiD),Conditional cash transfers to rural households through the Familia en Acción program
Quasi-experimental,Statistical matching,Science and technology backyard agricultural extension program for smallholder farmers
Quasi-experimental,Fixed effects (incl. DiD),Government R&D and production subsidies for hydrogen energy firms
Quasi-experimental,Fixed effects (incl. DiD),Government scheme subsidizing electricity bills during COVID-19 lockdown
Quasi-experimental,Other,Energy infrastructure investments via public-private partnerships in developing Asian economies
Quasi-experimental,Fixed effects (incl. DiD),Government policy reducing electricity prices for industrial users
Quasi-experimental,Fixed effects (incl. DiD),Implementation of feed-in tariffs for renewable energy technologies
Qualitative,Other,Distribution and promotion of improved biomass cookstoves to reduce household air pollution
Qualitative,Other,Time of Use pricing schemes for electricity consumption
Quasi-experimental,Interrupted time series analysis,Providing personalized household energy use feedback to residents
Quasi-experimental,Instrumental variable estimation,Tiered household electricity pricing with small differences between consumption tiers
Experimental,Randomised controlled trial,Information campaign with anxiety-inducing messages about irregular migration
Other,Other,Evidence gap map of resilience-strengthening interventions in low- and middle-income countries
Quasi-experimental,Fixed effects (incl. DiD),Designation of cities as new energy demonstration pilots
Experimental,Randomised controlled trial,Mothers received nutrition education and/or infants received daily yogurt supplementation
Experimental,Randomised controlled trial,Gift of egg-laying chickens plus video-based nutrition education to mothers
Quasi-experimental,Fixed effects (incl. DiD),Lockdown and food security emergency policies during COVID-19 in China
Experimental,Randomised controlled trial,Agricultural training and nutrition education to promote insect farming and consumption
Experimental,Randomised controlled trial,Midwife-led group breastfeeding counseling during pregnancy based on Bandura's model
Qualitative,Other,Behaviour change functions integrated into maternal and child nutrition programs
Quasi-experimental,Other,Nutritional supplementation provided to preschool children for periods of six months or longer
Experimental,Randomised controlled trial,Antenatal nutritional supplementation for pregnant women with undernutrition
Experimental,Randomised controlled trial,Provision of food-based interventions to children under five years old
Experimental,Randomised controlled trial,Training farmers in Alternate Wetting and Drying water-saving technique
Experimental,Randomised controlled trial,Free hand-powered irrigation pumps given to female household heads via public lotteries
Other,Other,Peer counselling to promote appropriate complementary feeding for infants
Experimental,Randomised controlled trial,Collective community intervention promoting fruits and vegetables consumption
Quasi-experimental,Statistical matching,Providing index-based agricultural insurance to smallholder farmers via PADAER project
Quasi-experimental,Fixed effects (incl. DiD),Mandatory energy-saving targets for industrial enterprises
Quasi-experimental,Statistical matching,Provision of homegrown school feeding program sourcing food from local smallholder farmers
Experimental,Randomised controlled trial,Nutrition education via educational CD for street children
Quasi-experimental,Fixed effects (incl. DiD),Implementation of community-based photovoltaic stations in Chinese villages
Quasi-experimental,Statistical matching,"Membership in agroecology farmer groups providing knowledge, networks, and possible markets"
Experimental,Randomised controlled trial,Comprehensive breastfeeding counselling and support from antenatal care to 6 months postpartum
Experimental,Randomised controlled trial,Mixed reality technology-based breastfeeding counseling for pregnant women
Quasi-experimental,Fixed effects (incl. DiD),Implementation of ultra-low emission standards for thermal power plants
Quasi-experimental,Fixed effects (incl. DiD),Implementation of New Energy Demonstration City Policy in selected Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the New Energy Demonstration City Policy in Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Green special transfer payments to selected cities for energy-saving projects
Experimental,Randomised controlled trial,Twelve months of free LPG and behavioral support for cooking
Quasi-experimental,Fixed effects (incl. DiD),Mandatory coal-to-gas energy conversion in selected Chinese cities
Quasi-experimental,Other,Implementation of renewable energy policies and technologies in the built environment
Quasi-experimental,Fixed effects (incl. DiD),Implementation of provincial energy intensity reduction targets
Quasi-experimental,Fixed effects (incl. DiD),Implementation of stricter dual control energy regulations in selected Chinese regions
Quasi-experimental,Fixed effects (incl. DiD),Imposition of local content requirements in solar auctions
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Clean Heating Policy in northern Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of four national and regional environmental policy instruments in China
Quasi-experimental,Fixed effects (incl. DiD),Implementation of dual-credit policy for auto firms
Quasi-experimental,Fixed effects (incl. DiD),Implementation of photovoltaic poverty alleviation projects in poor households
Quasi-experimental,Fixed effects (incl. DiD),Implementation of high-standard farmland construction policy in Chinese provinces
Quasi-experimental,Fixed effects (incl. DiD),Market-oriented reform of maize purchasing and storage policy
Experimental,Randomised controlled trial,Exposure to three different front-of-package nutrition labelling schemes in supermarkets
Quasi-experimental,Fixed effects (incl. DiD),Government subsidies to promote adoption of new energy vehicles in Chinese cities
Experimental,Randomised controlled trial,Maternal lipid-based nutrient supplement before or during early pregnancy
Quasi-experimental,Fixed effects (incl. DiD),Construction of the Belo Monte hydropower dam in the Brazilian Amazon
Quasi-experimental,Instrumental variable estimation,Implementation of diverse renewable energy policy packages in developing countries
Quasi-experimental,Difference-in-Differences,Implementation of energy-saving and emission-reduction policy in China
Quasi-experimental,Fixed effects (incl. DiD),Implementation of energy use rights trading policy in Chinese cities
Quasi-experimental,Statistical matching,Involving low-income farmers in ecological conservation public welfare positions
Quasi-experimental,Fixed effects (incl. DiD),Unconditional cash transfers to poor households through the Lesotho Child Grant Program
Quasi-experimental,Statistical matching,Participation in buffer stock operations for smallholder cereal farmers
Experimental,Randomised controlled trial,Information campaign about health risks of solid fuels and subsidies for LPG
Quasi-experimental,Fixed effects (incl. DiD),Implementation of equity incentive schemes in Chinese listed companies
Experimental,Randomised controlled trial,Exposure to street-level urban green spaces of varying scales in an online RCT
Quasi-experimental,Statistical matching,Renovation of dilapidated rural houses for poor peasant households
Quasi-experimental,Fixed effects (incl. DiD),Implementation of low-carbon city pilot policy in selected Chinese cities
Experimental,Randomised controlled trial,Different cookstove dissemination trainings assigned to communities in central Mozambique
Quasi-experimental,Interrupted time series analysis,Behaviour-centred design campaign promoting improved flame-based cookstoves
Experimental,Randomised controlled trial,Sales agents provided tablets with detailed solar product information applications
Quasi-experimental,Instrumental variable estimation,Implementation of various renewable energy policy instruments across countries
Quasi-experimental,Regression discontinuity design,Reduction in regulated retail electricity prices via residential summer tariff
Quasi-experimental,Fixed effects (incl. DiD),Designation of sustainable development experimental zones in selected Chinese cities
Experimental,Randomised controlled trial,Randomized provision of information about health impacts and LPG subsidies
Experimental,Randomised controlled trial,Postnatal counseling for mothers on healthy eating practices for one year
Quasi-experimental,Statistical matching,Multi-sectoral nutrition-sensitive interventions for rural households
Quasi-experimental,Fixed effects (incl. DiD),Expansion of green finance initiatives in Chinese provinces
Quasi-experimental,Fixed effects (incl. DiD),Implementation of a large-scale school meal program in rural compulsory schools
Experimental,Randomised controlled trial,Nutrition education and supplementation for school-age children in helminth endemic areas
Quasi-experimental,Difference-in-Differences,Implementation of China's carbon trading policy (CCTP) among listed enterprises
Quasi-experimental,Synthetic control,Antitrust sanctions imposed by the Federal Competition Commission in Mexico
Quasi-experimental,Fixed effects (incl. DiD),Establishment of the National Integrated Circuit Industry Investment Fund
Quasi-experimental,Fixed effects (incl. DiD),Conditional cash transfers to households affected by typhoon Yolanda
Quasi-experimental,Fixed effects (incl. DiD),Replacement of staple food subsidies with unconditional cash transfers
Experimental,Randomised controlled trial,Telephone-based long-term educational support for new mothers post-delivery
Quasi-experimental,Fixed effects (incl. DiD),Introduction of purchase subsidies for electric vehicles
Experimental,Randomised controlled trial,Delivery of a multicomponent SEL curriculum to Syrian refugee children in Lebanon
Quasi-experimental,Fixed effects (incl. DiD),Promotion of home vegetable gardens for households with young children
Quasi-experimental,Other,Skills-based active labor market policies to enhance employment and influence migration
Quasi-experimental,Instrumental variable estimation,Expansion of digital infrastructure in Chinese cities
Quasi-experimental,Statistical matching,Multi-channel information campaign on sustainable fall armyworm management for smallholder farmers
Quasi-experimental,Statistical matching,Mass media campaigns promoting safe pesticide use among smallholder farmers
Quasi-experimental,Fixed effects (incl. DiD),Farmer training programs on pesticide safety and integrated pest management
Quasi-experimental,Fixed effects (incl. DiD),Installation of solar-powered cold storages in horticulture markets
Quasi-experimental,Fixed effects (incl. DiD),"Large-scale land redistribution implemented in Amhara Region, Ethiopia, in 1997"
Quasi-experimental,Fixed effects (incl. DiD),Amendment of Malaysian Code of Corporate Governance (MCCG) in 2012
Quasi-experimental,Statistical matching,Substitution of chemical fertilizers with organic fertilizers among farmers
Experimental,Randomised controlled trial,Providing one egg daily to young children for six months
Quasi-experimental,Fixed effects (incl. DiD),"Intensive maternal, infant, and child nutrition counseling at urban health care facilities"
Quasi-experimental,Statistical matching,Formation and support of new agricultural cooperatives for small farmers
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the environmental protection tax reform in China
Experimental,Randomised controlled trial,Group-based parent-child interaction therapy for mothers and young children
Quasi-experimental,Fixed effects (incl. DiD),Establishment of Pilot Zones for Green Financial Reform and Innovations
Quasi-experimental,Fixed effects (incl. DiD),Green mergers and acquisitions by heavily polluting Chinese listed enterprises
Quasi-experimental,Statistical matching,Participation in Farmer Field Schools by rural households
Quasi-experimental,Statistical matching,Government-provided food support to rural households
Quasi-experimental,Fixed effects (incl. DiD),Provision of micro-hydropower electricity to rural communities in Nepal
Quasi-experimental,Instrumental variable estimation,Offering agricultural insurance to sugarcane farmers in Guangxi
Quasi-experimental,Fixed effects (incl. DiD),Establishment of pilot counties for agricultural production socialization services
Quasi-experimental,Instrumental variable estimation,Provision of index-based livestock insurance to pastoral households in southern Ethiopia
Experimental,Randomised controlled trial,"Nutrition, culinary, and production training on African Indigenous Vegetables for smallholder farmers"
Quasi-experimental,Fixed effects (incl. DiD),"Implementation of Forest Farm Carbon Sink projects in Sichuan, China"
Quasi-experimental,Statistical matching,Upgrading protected areas from provincial to national level with stricter management
Quasi-experimental,Fixed effects (incl. DiD),Implementation of development zones in Chinese urban counties
Experimental,Randomised controlled trial,Gender- and nutrition-sensitive poultry production program for rural households
Experimental,Randomised controlled trial,Conditional cash transfers and mHealth audio messages in Somali IDP camps
Experimental,Randomised controlled trial,Customised Ultra-Poor Graduation programme for host communities of Rohingya refugees
Quasi-experimental,Fixed effects (incl. DiD),Elimination of gangdom and evil forces in China
Quasi-experimental,Fixed effects (incl. DiD),Implementation of Green Industrial Policies by municipal governments
Quasi-experimental,Other,Introduction of CSISC as an activist minority investor in Chinese listed firms
Quasi-experimental,Fixed effects (incl. DiD),Urbanization rate reaching 45% in provincial regions
Quasi-experimental,Fixed effects (incl. DiD),Establishment of pilot free trade zones in selected Chinese provinces
Quasi-experimental,Difference-in-Differences,Germany's ban on Azo-dyes affecting Indian dye-producing firms
Quasi-experimental,Fixed effects (incl. DiD),Implementation of New Energy Demonstration City policy in select Chinese cities
Experimental,Randomised controlled trial,Providing conditional cash transfers to selected households in Tanzanian communities
Quasi-experimental,Fixed effects (incl. DiD),Onsite sanitation upgrades with integrated fly control measures
Quasi-experimental,Fixed effects (incl. DiD),Provision of noncontributory pensions to elderly in rural Mexican households
Quasi-experimental,Fixed effects (incl. DiD),Implementation of city cluster planning for regional integration
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's Old Revolutionary Development Program in targeted counties
Quasi-experimental,Statistical matching,Provision of formal land titles under the PRODEP program in Nicaragua
Quasi-experimental,Statistical matching,Initiatives promoting organic agriculture among smallholder farmers
Quasi-experimental,Statistical matching,Use of mobile money services for receiving family assistance
Quasi-experimental,Fixed effects (incl. DiD),Implementation of low-carbon city pilot policies in selected Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Decentralization of rural land property tax collection to municipalities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of tax incentives for prioritized sectors in Ecuador
Quasi-experimental,Regression discontinuity design,One-time emergency cash transfer to informal and self-employed workers
Quasi-experimental,Fixed effects (incl. DiD),Implementation of regional carbon emissions trading schemes
Quasi-experimental,Fixed effects (incl. DiD),Unconditional cash transfers to labour-constrained female-headed households
Quasi-experimental,Instrumental variable estimation,Provision of food aid to Sub-Saharan African countries
Quasi-experimental,Synthetic control,Implementation of common-law style judicial reform in Mexican municipalities
Experimental,Randomised controlled trial,Government-supported digital platform offering jobs to low-skilled rural youth
Quasi-experimental,Fixed effects (incl. DiD),Implementation of local environmental regulations alongside green technology innovation
